sira,ad,tip,boyut_byte,parametre_sayisi,tetikleyici_sayisi,tag_id,firing_triggers
117,Toplam X TL Kârdasınız - Test Trigger,html,697,2,1,283,282
118,hypeEvent - Register Success Event,html,689,2,1,125,2147479553
119,Checkout progress bar trigger,html,689,2,3,295,"282, 174, 166"
120,Kazancınız X TL Trigger,html,665,2,1,262,187
121,Ürün Listeleme Redesign - Trigger,html,663,2,1,189,187
122,İade ve Garanti Süresini Vurgulama - Trigger,html,663,2,1,224,225
123,Banner Slider Redesign Testi Aktivasyon Eventi,html,602,2,1,375,374
124,Taksitli Fiyat Söylemi - Tag,html,594,2,4,170,"119, 169, 172, 173"
125,Oral-B Ürünleri Vurgulama Test Trigger,html,594,2,2,271,"187, 118"
126,Sticky Filtre Trigger,html,566,2,1,188,187
127,GA4 - braun_asistan_gorusme_izni_ver,gaawe,566,3,1,411,210
128,Product Detail Event,html,563,2,1,285,27
129,Ürün Detay - Tavsiye Et,html,563,2,1,287,27
130,GA4 - braun_asistan_uzmana_baglan,gaawe,560,3,1,412,208
131,GA4 - braun_asistan_simdi_arayin,gaawe,558,3,1,413,206
132,GA4 - braun_asistan_close_popup,gaawe,556,3,1,410,202
133,GA4 - braun_asistan_clicks,gaawe,546,3,1,409,204
134,Google Optimize,opt,534,3,1,144,2147479553
135,Conversion Linker,gclidw,531,3,1,69,2147479553
136,GA4 - Register Success,gaawe,529,3,1,399,397
137,GA4 - Login Error,gaawe,528,3,1,400,396
138,GA4 - Login Success,gaawe,524,3,1,398,395
139,GA4 - Scroll Tracking - Anasayfa,gaawe,500,2,1,347,345
140,Tiktok - Initiate Checkout,html,496,2,1,357,48
141,Cookie - AB - Hype - 2,html,495,2,1,221,220
142,Cookie - AB - Hype,html,490,2,1,138,137
143,Google Tag DC-11386203,googtag,316,1,1,501,2147479573
